,SM1411.CZC,SM1412.CZC,SM1501.CZC,SM1502.CZC,SM1503.CZC,SM1504.CZC,SM1505.CZC,SM1506.CZC,SM1507.CZC,SM1508.CZC,SM1509.CZC,SM1510.CZC,SM1511.CZC,SM1512.CZC,SM1601.CZC,SM1602.CZC,SM1603.CZC,SM1604.CZC,SM1605.CZC,SM1606.CZC,SM607.CZC,SM608.CZC,SM609.CZC,SM610.CZC,SM611.CZC,SM612.CZC,SM701.CZC,SM702.CZC,SM703.CZC,SM704.CZC,SM705.CZC,SM706.CZC,SM707.CZC,SM708.CZC,SM709.CZC,SM710.CZC,SM711.CZC,SM712.CZC,SM801.CZC,SM802.CZC,SM803.CZC,SM804.CZC,SM805.CZC,SM806.CZC,SM807.CZC,SM808.CZC,SM809.CZC,SM810.CZC,SM811.CZC,SM812.CZC,SM901.CZC,SM902.CZC,SM903.CZC
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,11.0,7.0,7.0,7.0,,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,7.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,10.0,,7.0,,7.0,7.0,7.0,7.0,7.0,,
